# Метеостанция Остафьево (аэропорт), Россия, METAR=UUMO, выборка с 01.05.2019 по 09.09.2019, все дни
# Кодировка: Unicode
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUMO&lang=ru
#
"Местное время в Остафьево (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.07.2019 05:30";"9.0";"733.1";"748.5";"87";"Ветер, дующий с запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"31.07.2019 05:00";"9.0";"733.1";"748.5";"87";"Ветер, дующий с запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"31.07.2019 01:30";"9.0";"735.3";"750.8";"87";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"7.0";
"31.07.2019 01:00";"8.0";"735.3";"750.8";"93";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"31.07.2019 00:30";"8.0";"735.3";"750.8";"87";"Ветер, дующий с запада";"3";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"6.0";
"31.07.2019 00:00";"8.0";"736.1";"751.6";"87";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"30.07.2019 23:30";"9.0";"736.1";"751.6";"82";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"30.07.2019 23:00";"9.0";"736.1";"751.6";"76";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"30.07.2019 22:30";"9.0";"736.1";"751.6";"82";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"30.07.2019 22:00";"10.0";"736.2";"751.6";"76";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"30.07.2019 21:30";"10.0";"736.2";"751.6";"71";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"30.07.2019 21:00";"10.0";"736.2";"751.6";"71";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"30.07.2019 20:30";"12.0";"736.3";"751.6";"67";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"30.07.2019 20:00";"13.0";"736.3";"751.6";"59";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"30.07.2019 19:30";"14.0";"737.1";"752.3";"55";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"30.07.2019 19:00";"14.0";"737.1";"752.3";"55";"Ветер, дующий с северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"30.07.2019 18:30";"15.0";"737.1";"752.3";"48";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"30.07.2019 18:00";"15.0";"737.1";"752.3";"48";"Ветер, дующий с северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"30.07.2019 17:30";"16.0";"738.0";"753.1";"45";"Ветер, дующий с северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"30.07.2019 17:00";"16.0";"738.0";"753.1";"42";"Ветер, дующий с северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"30.07.2019 16:30";"15.0";"737.9";"753.1";"48";"Ветер, дующий с северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"30.07.2019 16:00";"16.0";"738.0";"753.1";"45";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"30.07.2019 15:30";"15.0";"738.7";"753.9";"45";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"30.07.2019 15:00";"16.0";"738.7";"753.9";"45";"Ветер, дующий с северо-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"30.07.2019 14:30";"15.0";"738.7";"753.9";"48";"Ветер, дующий с северо-запада";"7";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"4.0";
"30.07.2019 14:00";"16.0";"738.7";"753.9";"48";"Ветер, дующий с западо-северо-запада";"7";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"5.0";
"30.07.2019 13:30";"15.0";"738.7";"753.9";"48";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"4.0";
"30.07.2019 13:00";"15.0";"738.7";"753.9";"48";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"4.0";
"30.07.2019 12:30";"15.0";"738.7";"753.9";"48";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"4.0";
"30.07.2019 12:00";"15.0";"738.7";"753.9";"48";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"4.0";
"30.07.2019 11:30";"14.0";"738.6";"753.9";"55";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"5.0";
"30.07.2019 11:00";"14.0";"738.6";"753.9";"51";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"4.0";
"30.07.2019 10:30";"14.0";"738.6";"753.9";"51";"Ветер, дующий с северо-запада";"5";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"4.0";
"30.07.2019 10:00";"13.0";"738.6";"753.9";"55";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"4.0";
"30.07.2019 09:30";"12.0";"739.2";"754.6";"63";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"5.0";
"30.07.2019 09:00";"13.0";"739.3";"754.6";"67";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"7.0";
"30.07.2019 08:30";"12.0";"738.5";"753.9";"67";"Ветер, дующий с северо-запада";"5";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"6.0";
"30.07.2019 08:00";"12.0";"738.5";"753.9";"77";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"8.0";
"30.07.2019 07:30";"10.0";"739.1";"754.6";"82";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"7.0";
"30.07.2019 07:00";"11.0";"739.2";"754.6";"88";"Ветер, дующий с северо-запада";"5";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"9.0";
"30.07.2019 01:30";"10.0";"739.1";"754.6";"76";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"30.07.2019 01:00";"11.0";"739.2";"754.6";"67";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"30.07.2019 00:30";"12.0";"739.2";"754.6";"77";"Ветер, дующий с северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"30.07.2019 00:00";"12.0";"739.2";"754.6";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.07.2019 23:30";"13.0";"739.3";"754.6";"59";"Ветер, дующий с северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"29.07.2019 23:00";"12.0";"739.2";"754.6";"72";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"29.07.2019 22:30";"12.0";"739.2";"754.6";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.07.2019 22:00";"12.0";"739.2";"754.6";"82";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.07.2019 21:30";"13.0";"739.3";"754.6";"63";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"29.07.2019 21:00";"13.0";"739.3";"754.6";"59";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"29.07.2019 20:30";"13.0";"739.3";"754.6";"55";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 20:00";"14.0";"739.3";"754.6";"55";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"29.07.2019 19:30";"15.0";"739.4";"754.6";"48";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 19:00";"16.0";"739.4";"754.6";"45";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 18:30";"16.0";"739.4";"754.6";"45";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 18:00";"17.0";"739.5";"754.6";"45";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"29.07.2019 17:30";"17.0";"739.5";"754.6";"42";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 17:00";"17.0";"739.5";"754.6";"42";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 16:30";"17.0";"739.5";"754.6";"42";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 16:00";"17.0";"739.5";"754.6";"45";"Ветер, дующий с северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"29.07.2019 15:30";"17.0";"739.5";"754.6";"42";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 15:00";"17.0";"739.5";"754.6";"45";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"29.07.2019 14:30";"17.0";"740.3";"755.4";"45";"Ветер, дующий с северо-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"29.07.2019 14:00";"17.0";"740.3";"755.4";"49";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"29.07.2019 13:30";"16.0";"740.2";"755.4";"48";"Ветер, дующий с северо-северо-запада";"6";"11";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"29.07.2019 13:00";"17.0";"740.3";"755.4";"49";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"6.0";
"29.07.2019 12:30";"15.0";"740.2";"755.4";"51";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"5.0";
"29.07.2019 12:00";"17.0";"740.3";"755.4";"49";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"6.0";
"29.07.2019 11:30";"15.0";"740.2";"755.4";"51";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"5.0";
"29.07.2019 11:00";"15.0";"740.2";"755.4";"48";"Ветер, дующий с северо-запада";"5";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"4.0";
"29.07.2019 10:30";"14.0";"740.1";"755.4";"51";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"4.0";
"29.07.2019 10:00";"14.0";"740.1";"755.4";"55";"Ветер, дующий с севера";"5";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"5.0";
"29.07.2019 09:30";"14.0";"740.1";"755.4";"51";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"4.0";
"29.07.2019 09:00";"14.0";"740.1";"755.4";"51";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 08:30";"13.0";"740.8";"756.2";"55";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 08:00";"13.0";"740.8";"756.2";"55";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 07:30";"13.0";"740.8";"756.2";"55";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 07:00";"13.0";"740.8";"756.2";"55";"Ветер, дующий с северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 06:30";"12.0";"740.8";"756.2";"58";"Ветер, дующий с северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.07.2019 06:00";"12.0";"740.8";"756.2";"67";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"29.07.2019 05:30";"11.0";"740.7";"756.2";"72";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"29.07.2019 05:00";"10.0";"739.9";"755.4";"76";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"29.07.2019 04:30";"11.0";"739.9";"755.4";"72";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"28.07.2019 23:00";"18.0";"738.1";"753.1";"78";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 22:30";"18.0";"738.1";"753.1";"78";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 22:00";"19.0";"738.1";"753.1";"73";"Ветер, дующий с северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 21:30";"18.0";"738.1";"753.1";"73";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"28.07.2019 21:00";"20.0";"738.2";"753.1";"64";"Ветер, дующий с северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"28.07.2019 20:30";"22.0";"738.3";"753.1";"57";"Ветер, дующий с северо-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"28.07.2019 20:00";"22.0";"738.3";"753.1";"57";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"28.07.2019 19:30";"23.0";"738.3";"753.1";"57";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 19:00";"23.0";"738.3";"753.1";"57";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 18:30";"24.0";"738.4";"753.1";"54";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 18:00";"24.0";"738.4";"753.1";"57";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"28.07.2019 17:30";"25.0";"738.4";"753.1";"51";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 17:00";"26.0";"738.5";"753.1";"51";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"28.07.2019 16:30";"26.0";"739.2";"753.9";"51";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"28.07.2019 16:00";"26.0";"739.2";"753.9";"54";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"28.07.2019 15:30";"26.0";"739.2";"753.9";"48";"Ветер, дующий с севера";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 15:00";"25.0";"739.2";"753.9";"51";"Ветер, дующий с севера";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"28.07.2019 14:30";"27.0";"739.3";"753.9";"48";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"28.07.2019 14:00";"26.0";"739.2";"753.9";"51";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"28.07.2019 13:30";"26.0";"739.9";"754.6";"51";"Ветер, дующий с северо-северо-запада";"6";"11";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"28.07.2019 13:00";"26.0";"739.9";"754.6";"54";"Ветер, дующий с северо-северо-запада";"6";"11";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"28.07.2019 12:30";"25.0";"739.9";"754.6";"57";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"28.07.2019 12:00";"25.0";"739.9";"754.6";"61";"Ветер, дующий с севера";"6";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"17.0";
"28.07.2019 11:30";"24.0";"739.8";"754.6";"57";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"15.0";
"28.07.2019 11:00";"25.0";"739.9";"754.6";"61";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"17.0";
"28.07.2019 10:30";"25.0";"739.9";"754.6";"65";"Ветер, дующий с севера";"6";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"18.0";
"28.07.2019 10:00";"25.0";"740.7";"755.4";"65";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"18.0";
"28.07.2019 09:30";"24.0";"740.6";"755.4";"69";"Ветер, дующий с северо-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"28.07.2019 09:00";"24.0";"740.6";"755.4";"69";"Ветер, дующий с северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"28.07.2019 08:30";"23.0";"740.6";"755.4";"78";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"19.0";
"28.07.2019 08:00";"22.0";"740.5";"755.4";"78";"Ветер, дующий с северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"28.07.2019 07:30";"21.0";"740.5";"755.4";"83";"Ветер, дующий с северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"28.07.2019 07:00";"20.0";"741.2";"756.2";"88";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"28.07.2019 06:30";"20.0";"741.2";"756.2";"94";"Ветер, дующий с запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"19.0";
"28.07.2019 06:00";"18.0";"741.1";"756.2";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"28.07.2019 05:30";"17.0";"741.0";"756.2";"100";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"28.07.2019 05:00";"17.0";"741.0";"756.2";"100";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"9.0";"17.0";
"27.07.2019 20:30";"25.0";"742.9";"757.7";"61";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"27.07.2019 20:00";"25.0";"742.9";"757.7";"57";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 19:30";"26.0";"743.0";"757.7";"54";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 19:00";"26.0";"743.0";"757.7";"54";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 18:30";"27.0";"743.0";"757.7";"51";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 18:00";"27.0";"743.0";"757.7";"48";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"27.07.2019 17:30";"28.0";"743.1";"757.7";"45";"Ветер, дующий с севера";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"27.07.2019 17:00";"28.0";"743.6";"758.2";"48";"Ветер, дующий с севера";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 16:30";"28.0";"743.6";"758.2";"45";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"27.07.2019 16:00";"28.0";"743.6";"758.2";"48";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 15:30";"28.0";"744.3";"759.0";"48";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 15:00";"28.0";"744.3";"759.0";"45";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"27.07.2019 14:30";"28.0";"744.3";"759.0";"45";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"27.07.2019 14:00";"27.0";"745.0";"759.7";"48";"Ветер, дующий с северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"27.07.2019 13:30";"28.0";"745.0";"759.7";"48";"Ветер, дующий с северо-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 13:00";"27.0";"745.0";"759.7";"51";"Ветер, дующий с северо-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 12:30";"27.0";"745.0";"759.7";"51";"Ветер, дующий с северо-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 12:00";"27.0";"745.8";"760.5";"48";"Ветер, дующий с северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"27.07.2019 11:30";"26.0";"745.7";"760.5";"54";"Ветер, дующий с северо-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 11:00";"26.0";"745.7";"760.5";"54";"Ветер, дующий с северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 10:30";"26.0";"745.7";"760.5";"54";"Ветер, дующий с северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 10:00";"25.0";"745.7";"760.5";"57";"Ветер, дующий с северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 09:30";"25.0";"746.3";"761.2";"57";"Ветер, дующий с северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"27.07.2019 09:00";"24.0";"746.3";"761.2";"65";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"27.07.2019 08:30";"23.0";"746.2";"761.2";"74";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"27.07.2019 08:00";"22.0";"746.2";"761.2";"73";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"27.07.2019 07:30";"21.0";"746.1";"761.2";"83";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"27.07.2019 07:00";"21.0";"746.1";"761.2";"78";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"27.07.2019 06:30";"20.0";"746.1";"761.2";"83";"Ветер, дующий с северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"27.07.2019 06:00";"19.0";"746.0";"761.2";"88";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"27.07.2019 05:30";"17.0";"745.9";"761.2";"100";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"27.07.2019 05:00";"18.0";"746.0";"761.2";"100";"Ветер, дующий с западо-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"18.0";
"26.07.2019 23:00";"22.0";"747.0";"762.0";"73";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"26.07.2019 22:30";"21.0";"746.9";"762.0";"78";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"26.07.2019 22:00";"22.0";"747.0";"762.0";"69";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 21:30";"22.0";"747.0";"762.0";"69";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 21:00";"23.0";"747.0";"762.0";"69";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"17.0";
"26.07.2019 20:30";"24.0";"747.1";"762.0";"61";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 20:00";"24.0";"746.3";"761.2";"61";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 19:30";"24.0";"746.3";"761.2";"61";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 19:00";"25.0";"746.3";"761.2";"57";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 18:30";"26.0";"746.4";"761.2";"54";"Ветер, дующий с востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 18:00";"26.0";"746.4";"761.2";"54";"Ветер, дующий с востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 17:30";"26.0";"746.4";"761.2";"54";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 17:00";"26.0";"746.4";"761.2";"54";"Ветер, дующий с востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"26.07.2019 16:30";"27.0";"746.4";"761.2";"48";"Ветер, дующий с востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"26.07.2019 16:00";"27.0";"746.4";"761.2";"51";"Ветер, дующий с востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
